Offence Year,Division,Offence Category,District Number,Ticket Count
2014,D14,Speeding,85,1
2021,D22,Speeding,10,1
2023,D22,Speeding,18,1
2020,D55,Speeding,68,1
2023,D53,Speeding,174,1
2018,D22,Speeding,10,1
2019,D55,Speeding,54,1
2015,D13,Speeding,101,1
2017,D14,Speeding,85,1
2015,D22,Speeding,16,1
2017,D23,Speeding,8,1
2016,D33,Speeding,40,1
2015,D12,Speeding,111,1
2015,D42,Speeding,118,1
2015,D43,Speeding,140,1
2019,D51,Speeding,72,1
2021,D55,Speeding,120,1
2021,D32,Speeding,36,1
2019,D23,Speeding,11,1
2017,D32,Speeding,32,1
2014,D22,Speeding,10,1
2016,D22,Speeding,11,1
2016,D22,Speeding,160,1
2016,D43,Speeding,123,1
2015,D14,Speeding,163,2
2022,D55,Speeding,58,2
2017,D22,Speeding,15,2
2021,D31,Speeding,155,2
2018,D33,Speeding,149,2
2021,D53,Speeding,103,2
2016,D32,Speeding,39,2
2018,D43,Speeding,136,2
2023,D55,Speeding,68,2
2018,D23,Speeding,8,2
2018,D33,Speeding,52,2
2023,D41,Speeding,120,2
2017,D55,Speeding,70,2
2020,D22,Speeding,161,2
2023,D42,Speeding,129,2
2018,D41,Speeding,120,2
2021,D22,Speeding,20,2
2018,D22,Speeding,20,2
2023,D53,Speeding,103,2
2020,D53,Speeding,95,2
2019,D33,Speeding,49,2
2020,D42,Speeding,129,2
2016,D53,Speeding,41,2
2018,D43,Speeding,142,2
2016,D53,Speeding,98,2
2018,D22,Speeding,13,2
2021,D33,Speeding,40,2
2023,D42,Speeding,148,2
2017,D23,Speeding,2,2
2021,D32,Speeding,27,2
2016,D13,Speeding,101,2
2017,D55,Speeding,68,2
2020,D42,Speeding,128,2
2021,D42,Speeding,146,2
2023,D41,Speeding,124,2
2016,D43,Speeding,136,2
2016,D42,Speeding,128,2
2015,D53,Speeding,39,2
2018,D23,Speeding,4,2
2018,D23,Speeding,3,2
2014,D31,Speeding,23,2
2022,D32,Speeding,31,2
2020,D52,Speeding,78,2
2019,D31,Speeding,22,2
2016,D43,Speeding,134,2
2020,D32,Speeding,31,2
2016,D33,Speeding,44,2
2023,D55,Speeding,44,2
2022,D22,Speeding,20,2
2023,D32,Speeding,31,2
2020,D14,Speeding,81,2
2021,D41,Speeding,157,2
2022,D41,Speeding,157,2
2021,D42,Speeding,116,2
2023,D43,Speeding,123,2
2017,D12,Speeding,115,2
2020,D12,Speeding,30,2
2016,D22,Speeding,19,2
2018,D14,Speeding,163,2
2017,D33,Speeding,42,2
2021,D41,Speeding,120,2
2015,D52,Speeding,78,2
2021,D51,Speeding,166,2
2021,D22,Speeding,15,2
2018,D53,Speeding,98,2
2014,D33,Speeding,49,2
2014,D13,Speeding,106,2
2021,D43,Speeding,134,2
2018,D12,Speeding,111,2
2016,D43,Speeding,142,2
2016,D32,Speeding,152,2
2019,D55,Speeding,68,2
2017,D53,Speeding,55,2
2018,D11,Speeding,87,2
2022,D23,Speeding,3,2
2023,D22,Speeding,159,2
2016,D41,Speeding,157,2
2018,D43,Speeding,140,2
2020,D14,Speeding,163,2
2015,D23,Speeding,9,2
2017,D43,Speeding,134,2
2015,D42,Speeding,146,2
2020,D23,Speeding,7,2
2016,D12,Speeding,30,2
2018,D32,Speeding,41,2
2018,D42,Speeding,116,2
2020,D43,Speeding,136,2
2016,D23,Speeding,3,2
2020,D31,Speeding,23,2
2016,D31,Speeding,24,2
2019,D42,Speeding,130,2
2017,D11,Speeding,87,2
2018,D53,Speeding,97,2
2016,D33,Speeding,43,2
2014,D43,Speeding,134,2
2020,D31,Speeding,27,2
2018,D53,Speeding,71,2
2020,D42,Speeding,116,2
2016,D53,Speeding,174,2
2022,D22,Speeding,10,2
2018,D42,Speeding,130,2
2022,D23,Speeding,1,2
2019,D53,Speeding,56,2
2023,D22,Speeding,12,2
2019,D22,Speeding,16,2
2020,D32,Speeding,39,2
2020,D32,Speeding,41,2
2022,D22,Speeding,20,2
2021,D42,Speeding,148,2
2019,D22,Speeding,11,2
2018,D41,Speeding,156,2
2015,D33,Speeding,46,2
2022,D11,Speeding,85,2
2017,D41,Speeding,122,2
2021,D14,Speeding,95,2
2022,D42,Speeding,145,2
2021,D32,Speeding,34,2
2017,D55,Speeding,58,2
2022,D11,Speeding,90,2
2017,D42,Speeding,128,2
2021,D32,Speeding,35,2
2017,D55,Speeding,54,2
2015,D31,Speeding,155,2
2023,D33,Speeding,52,2
2022,D32,Speeding,39,2
2016,D41,Speeding,123,2
2015,D55,Speeding,58,2
2021,D32,Speeding,50,2
2022,D11,Speeding,87,2
2023,D31,Speeding,21,2
2021,D22,Speeding,158,2
2020,D32,Speeding,36,2
2023,D22,Speeding,16,2
2021,D14,Speeding,84,2
2023,D53,Speeding,55,2
2020,D32,Speeding,33,2
2017,D32,Speeding,31,2
2016,D51,Speeding,71,2
2023,D32,Speeding,39,2
2021,D32,Speeding,31,2
2023,D33,Speeding,49,2
2023,D13,Speeding,101,2
2019,D32,Speeding,50,2
2020,D33,Speeding,42,2
2020,D33,Speeding,48,2
2016,D32,Speeding,31,2
2015,D32,Speeding,34,2
2015,D31,Speeding,24,2
2019,D42,Speeding,128,2
2020,D33,Speeding,53,2
2016,D12,Speeding,111,2
2016,D32,Speeding,50,2
2017,D31,Speeding,21,2
2018,D13,Speeding,102,2
2016,D41,Speeding,126,2
2016,D32,Speeding,34,2
2023,D32,Speeding,35,2
2019,D55,Speeding,44,2
2023,D12,Speeding,30,2
2022,D32,Speeding,40,2
2021,D42,Speeding,130,2
2017,D43,Speeding,134,2
2021,D11,Speeding,85,2
2020,D53,Speeding,97,2
2018,D32,Speeding,40,2
2018,D43,Speeding,133,2
2017,D53,Speeding,98,2
2014,D32,Speeding,31,2
2018,D12,Speeding,30,2
2022,D22,Speeding,12,2
2019,D55,Speeding,122,2
2022,D42,Speeding,146,2
2021,D31,Speeding,27,2
2021,D53,Speeding,56,2
2016,D33,Speeding,150,2
2016,D55,Speeding,43,2
2017,D22,Speeding,158,2
2016,D31,Speeding,27,2
2022,D32,Speeding,35,2
2023,D22,Speeding,9,2
2020,D42,Speeding,118,2
2017,D42,Speeding,129,2
2019,D43,Speeding,135,2
2022,D31,Speeding,22,2
2019,D43,Speeding,143,2
2016,D41,Speeding,124,2
2022,D55,Speeding,59,2
2023,D13,Speeding,101,2
2021,D22,Speeding,161,2
2019,D42,Speeding,128,2
2022,D31,Speeding,27,2
2022,D33,Speeding,42,2
2018,D55,Speeding,58,2
2015,D31,Speeding,22,2
2017,D22,Speeding,11,2
2023,D42,Speeding,145,2
2020,D22,Speeding,158,2
2020,D43,Speeding,142,2
2022,D33,Speeding,48,2
2016,D22,Speeding,158,2
2019,D32,Speeding,49,2
2018,D32,Speeding,152,2
2017,D43,Speeding,141,2
2018,D52,Speeding,170,2
2015,D31,Speeding,27,2
2019,D31,Speeding,21,2
2020,D22,Speeding,15,2
2016,D22,Speeding,9,2
2023,D55,Speeding,58,2
2018,D42,Speeding,145,2
2015,D43,Speeding,136,2
2018,D14,Speeding,85,2
2016,D53,Speeding,100,2
2023,D53,Speeding,56,2
2015,D22,Speeding,11,2
2023,D41,Speeding,157,2
2022,D12,Speeding,115,2
2021,D31,Speeding,22,2
2019,D42,Speeding,145,2
2016,D42,Speeding,129,2
2022,D32,Speeding,41,2
2022,D33,Speeding,46,2
2023,D23,Speeding,1,3
2017,D33,Speeding,49,3
2019,D43,Speeding,134,3
2019,D55,Speeding,43,3
2017,D13,Speeding,101,3
2022,D22,Speeding,159,3
2015,D32,Speeding,41,3
2014,D31,Speeding,27,3
2016,D42,Speeding,145,3
2017,D51,Speeding,73,3
2020,D32,Speeding,40,3
2017,D41,Speeding,120,3
2019,D43,Speeding,141,3
2022,D12,Speeding,112,3
2019,D22,Speeding,10,3
2023,D33,Speeding,149,3
2014,D41,Speeding,119,3
2014,D31,Speeding,21,3
2021,D33,Speeding,52,3
2014,D31,Speeding,22,3
2020,D33,Speeding,149,3
2020,D41,Speeding,126,3
2022,D41,Speeding,120,3
2021,D43,Speeding,135,3
2022,D33,Speeding,42,3
2017,D51,Speeding,71,3
2015,D11,Speeding,87,3
2017,D42,Speeding,145,3
2023,D55,Speeding,63,3
2022,D55,Speeding,68,3
2018,D41,Speeding,126,3
2020,D33,Speeding,52,3
2022,D22,Speeding,11,3
2017,D53,Speeding,98,3
2018,D43,Speeding,138,3
2020,D53,Speeding,56,3
2021,D11,Speeding,87,3
2020,D43,Speeding,135,3
2022,D12,Speeding,90,3
2018,D13,Speeding,101,3
2018,D23,Speeding,1,4
2020,D32,Speeding,152,3
2017,D22,Speeding,9,3
2023,D32,Speeding,41,3
2022,D51,Speeding,73,3
2015,D22,Speeding,20,3
2014,D41,Speeding,126,3
2020,D11,Speeding,85,3
2023,D53,Speeding,103,3
2018,D31,Speeding,21,3
2017,D12,Speeding,111,3
2019,D42,Speeding,146,3
2021,D42,Speeding,144,3
2022,D42,Speeding,148,3
2015,D31,Speeding,23,3
2022,D22,Speeding,16,3
2020,D43,Speeding,133,3
2021,D32,Speeding,35,3
2017,D42,Speeding,146,3
2023,D55,Speeding,44,3
2016,D55,Speeding,58,3
2021,D13,Speeding,106,3
2017,D33,Speeding,149,3
2022,D55,Speeding,120,3
2018,D33,Speeding,150,3
2023,D55,Speeding,54,3
2015,D22,Speeding,158,3
2020,D43,Speeding,135,3
2018,D51,Speeding,71,4
2021,D55,Speeding,44,4
2019,D43,Speeding,136,4
2015,D22,Speeding,10,4
2018,D43,Speeding,134,4
2020,D41,Speeding,120,4
2018,D31,Speeding,23,4
2020,D33,Speeding,52,4
2022,D13,Speeding,101,4
2023,D51,Speeding,166,4
2016,D42,Speeding,144,4
2019,D51,Speeding,71,4
2019,D41,Speeding,120,4
2021,D32,Speeding,39,4
2020,D43,Speeding,123,4
2022,D14,Speeding,163,4
2021,D43,Speeding,142,4
2020,D42,Speeding,148,4
2020,D22,Speeding,9,4
2021,D53,Speeding,41,4
2022,D53,Speeding,103,4
2015,D23,Speeding,2,4
2021,D51,Speeding,71,4
2021,D55,Speeding,68,4
2023,D42,Speeding,145,4
2022,D22,Speeding,9,4
2022,D43,Speeding,133,4
2023,D22,Speeding,11,4
2018,D42,Speeding,130,4
2018,D41,Speeding,121,4
2020,D22,Speeding,16,4
2021,D22,Speeding,16,4
2021,D22,Speeding,159,4
2021,D43,Speeding,136,4
2017,D14,Speeding,163,4
2020,D33,Speeding,40,4
2019,D53,Speeding,103,4
2019,D23,Speeding,8,4
2022,D22,Speeding,158,4
2018,D32,Speeding,151,4
2018,D42,Speeding,144,4
2020,D33,Speeding,48,4
2020,D53,Speeding,103,3
2020,D32,Speeding,35,3
2023,D32,Speeding,40,3
2020,D23,Speeding,2,3
2020,D22,Speeding,11,3
2022,D41,Speeding,124,3
2022,D42,Speeding,146,3
2022,D55,Speeding,54,4
2020,D43,Speeding,136,4
2023,D43,Speeding,135,4
2020,D33,Speeding,49,4
2019,D33,Speeding,42,4
2023,D55,Speeding,43,4
2023,D41,Speeding,156,4
2016,D41,Speeding,120,4
2021,D43,Speeding,141,4
2018,D43,Speeding,139,4
2023,D43,Speeding,133,3
2022,D43,Speeding,141,3
2020,D42,Speeding,130,3
2020,D42,Speeding,129,3
2016,D13,Speeding,96,3
2023,D55,Speeding,120,3
2020,D22,Speeding,20,3
2016,D31,Speeding,23,3
2021,D41,Speeding,119,3
2018,D41,Speeding,124,3
2019,D51,Speeding,73,3
2023,D32,Speeding,152,3
2017,D53,Speeding,97,3
2018,D42,Speeding,129,3
2023,D11,Speeding,90,3
2020,D51,Speeding,73,3
2016,D43,Speeding,135,3
2015,D43,Speeding,123,3
2021,D33,Speeding,49,3
2017,D22,Speeding,12,3
2015,D12,Speeding,112,3
2023,D43,Speeding,142,3
2023,D11,Speeding,85,3
2020,D43,Speeding,141,5
2015,D42,Speeding,144,6
2022,D41,Speeding,122,5
2023,D22,Speeding,10,5
2021,D14,Speeding,163,5
2017,D22,Speeding,10,5
2019,D43,Speeding,135,6
2017,D55,Speeding,43,5
2018,D33,Speeding,49,5
2023,D22,Speeding,158,5
2023,D42,Speeding,130,5
2019,D41,Speeding,126,6
2023,D42,Speeding,146,5
2016,D23,Speeding,1,5
2023,D11,Speeding,87,6
2020,D41,Speeding,122,6
2022,D31,Speeding,21,6
2023,D43,Speeding,141,5
2022,D42,Speeding,145,6
2016,D33,Speeding,42,6
2021,D41,Speeding,122,5
2021,D33,Speeding,42,6
2019,D42,Speeding,144,6
2016,D42,Speeding,143,5
2023,D32,Speeding,33,5
2022,D32,Speeding,33,5
2022,D43,Speeding,136,6
2023,D33,Speeding,49,6
2015,D41,Speeding,120,6
2023,D33,Speeding,42,6
2022,D42,Speeding,130,5
2020,D22,Speeding,159,5
2018,D33,Speeding,42,5
2019,D23,Speeding,1,5
2021,D42,Speeding,145,5
2022,D55,Speeding,43,6
2016,D22,Speeding,12,5
2021,D12,Speeding,112,5
2016,D14,Speeding,163,6
2015,D23,Speeding,1,5
2015,D42,Speeding,130,5
2015,D42,Speeding,143,5
2016,D53,Speeding,55,5
2021,D31,Speeding,21,6
2021,D55,Speeding,58,6
2022,D41,Speeding,156,6
2019,D53,Speeding,98,6
2017,D42,Speeding,144,5
2021,D33,Speeding,42,6
2021,D22,Speeding,9,6
2020,D42,Speeding,145,6
2020,D42,Speeding,130,6
2023,D41,Speeding,122,9
2020,D23,Speeding,1,14
2023,D41,Speeding,119,6
2023,D12,Speeding,90,8
2021,D41,Speeding,126,13
2021,D42,Speeding,144,13
2023,D55,Speeding,58,7
2021,D13,Speeding,101,8
2020,D31,Speeding,21,9
2022,D41,Speeding,126,15
2021,D43,Speeding,133,7
2022,D42,Speeding,144,9
2022,D41,Speeding,119,8
2022,D33,Speeding,49,10
2023,D22,Speeding,11,7
2021,D23,Speeding,1,8
2020,D41,Speeding,119,8
2020,D11,Speeding,87,8
2016,D33,Speeding,49,7
2022,D23,Speeding,1,14
2017,D33,Speeding,42,13
2017,D23,Speeding,1,7
2015,D22,Speeding,9,9
2019,D23,Speeding,1,8
2021,D41,Speeding,156,7
2023,D42,Speeding,144,13
2020,D32,Speeding,39,9
2017,D31,Speeding,21,7
2020,D13,Speeding,101,7
2022,D11,Speeding,87,10
2020,D51,Speeding,71,7
2023,D43,Speeding,136,8
2020,D41,Speeding,156,8
2023,D41,Speeding,126,12
2021,D32,Speeding,33,7
2023,D14,Speeding,163,8
2020,D32,Speeding,50,9
2020,D41,Speeding,126,10
2016,D31,Speeding,21,9
2015,D31,Speeding,21,11
2023,D23,Speeding,1,13
2019,D41,Speeding,122,10
2018,D22,Speeding,11,7
2020,D42,Speeding,144,10
2020,D33,Speeding,42,7
2023,D42,Speeding,144,100
2023,D32,Speeding,33,29
2020,D22,Speeding,159,21
2021,D43,Speeding,142,21
2018,D53,Speeding,97,8
2017,D55,Speeding,68,13
2022,D52,Speeding,165,23
2022,D41,Speeding,157,8
2023,D12,Speeding,115,8
2021,D13,Speeding,106,15
2022,D32,Speeding,41,22
2021,D23,Speeding,3,18
2019,D43,Speeding,136,55
2017,D31,Speeding,22,13
2021,D33,Speeding,42,106
2023,D53,Speeding,56,31
2018,D55,Speeding,70,10
2021,D12,Speeding,112,10
2020,D33,Speeding,42,99
2016,D31,Speeding,27,14
2015,D51,Speeding,71,10
2017,D31,Speeding,27,19
2020,D41,Speeding,120,13
2018,D31,Speeding,23,9
2016,D41,Speeding,119,11
2021,D22,Speeding,161,24
2023,D42,Speeding,129,11
2020,D14,Speeding,85,18
2018,D33,Speeding,52,10
2022,D22,Speeding,11,13
2023,D22,Speeding,11,77
2018,D33,Speeding,42,14
2021,D41,Speeding,156,27
2019,D14,Speeding,163,15
2021,D32,Speeding,33,57
2021,D23,Speeding,22,9
2018,D42,Speeding,144,10
2021,D41,Speeding,126,57
2023,D31,Speeding,21,12
2021,D41,Speeding,120,12
2023,D32,Speeding,40,18
2022,D43,Speeding,141,16
2021,D32,Speeding,41,18
2023,D14,Speeding,163,59
2023,D33,Speeding,52,21
2022,D12,Speeding,90,11
2019,D23,Speeding,1,112
2022,D11,Speeding,87,68
2021,D33,Speeding,53,8
2022,D12,Speeding,115,10
2021,D11,Speeding,85,32
2017,D43,Speeding,141,11
2023,D42,Speeding,128,9
2015,D31,Speeding,23,11
2023,D52,Speeding,165,24
2023,D31,Speeding,27,9
2018,D31,Speeding,27,10
2023,D42,Speeding,146,8
2021,D32,Speeding,35,16
2017,D55,Speeding,70,15
2021,D13,Speeding,101,34
2020,D43,Speeding,141,15
2021,D33,Speeding,149,38
2022,D53,Speeding,56,55
2022,D41,Speeding,120,18
2016,D43,Speeding,136,9
2017,D55,Speeding,58,8
2015,D41,Speeding,120,18
2023,D32,Speeding,35,14
2021,D14,Speeding,85,12
2021,D53,Speeding,103,21
2020,D31,Speeding,21,16
2018,D43,Speeding,139,8
2019,D43,Speeding,134,10
2017,D33,Speeding,46,22
2023,D22,Speeding,159,40
2020,D23,Speeding,2,17
2022,D14,Speeding,85,39
2017,D33,Speeding,149,41
2018,D53,Speeding,98,17
2022,D22,Speeding,158,19
2023,D23,Speeding,1,171
2021,D33,Speeding,52,13
2022,D32,Speeding,34,14
2023,D33,Speeding,49,110
2017,D51,Speeding,73,13
2023,D13,Speeding,101,27
2022,D42,Speeding,146,13
2022,D53,Speeding,41,8
2023,D22,Speeding,161,64
2017,D33,Speeding,48,8
2018,D33,Speeding,49,14
2018,D32,Speeding,152,9
2020,D33,Speeding,53,15
2021,D43,Speeding,136,9
2017,D41,Speeding,120,12
2021,D43,Speeding,141,21
2021,D41,Speeding,124,10
2020,D23,Speeding,1,153
2022,D41,Speeding,156,21
2019,D41,Speeding,126,11
2019,D55,Speeding,58,8
2017,D22,Speeding,11,8
2021,D33,Speeding,44,9
2022,D32,Speeding,39,9
2021,D51,Speeding,74,10
2023,D12,Speeding,30,9
2020,D32,Speeding,31,14
2023,D53,Speeding,103,12
2021,D41,Speeding,157,9
2020,D31,Speeding,27,11
2023,D14,Speeding,165,26
2016,D31,Speeding,23,9
2022,D22,Speeding,161,20
2018,D22,Speeding,160,18
2023,D23,Speeding,2,6
2020,D42,Speeding,145,37
2019,D41,Speeding,122,13
2019,D32,Speeding,50,8
2022,D43,Speeding,135,20
2019,D32,Speeding,41,6
2020,D33,Speeding,149,43
2023,D41,Speeding,119,20
2022,D14,Speeding,163,58
2020,D33,Speeding,47,13
2018,D32,Speeding,37,6
2022,D23,Speeding,5,26
2023,D51,Speeding,98,6
2021,D33,Speeding,49,75
2016,D41,Speeding,120,20
2017,D14,Speeding,163,30
2017,D31,Speeding,21,38
2020,D13,Speeding,101,11
2020,D23,Speeding,8,9
2022,D33,Speeding,42,72
2015,D42,Speeding,129,13
2020,D23,Speeding,4,8
2023,D43,Speeding,136,25
2020,D11,Speeding,87,14
2020,D12,Speeding,30,10
2020,D42,Speeding,116,8
2020,D23,Speeding,3,9
2021,D22,Speeding,16,40
2017,D51,Speeding,71,32
2022,D31,Speeding,21,28
2016,D42,Speeding,144,18
2022,D14,Speeding,165,15
2018,D55,Speeding,68,8
2022,D41,Speeding,122,28
2020,D14,Speeding,163,42
2022,D23,Speeding,1,274
2019,D43,Speeding,142,11
2023,D42,Speeding,130,17
2023,D51,Speeding,166,40
2020,D43,Speeding,136,45
2020,D32,Speeding,39,117
2015,D33,Speeding,42,9
2017,D22,Speeding,20,13
2022,D33,Speeding,40,8
2023,D55,Speeding,68,11
2022,D55,Speeding,58,20
2022,D33,Speeding,48,19
2022,D42,Speeding,144,99
2021,D23,Speeding,1,148
2017,D33,Speeding,49,9
2023,D11,Speeding,90,30
2015,D42,Speeding,144,20
2022,D23,Speeding,3,21
2021,D23,Speeding,5,33
2022,D32,Speeding,31,11
2020,D55,Speeding,70,10
2022,D32,Speeding,151,15
2020,D42,Speeding,129,34
2022,D32,Speeding,50,25
2020,D22,Speeding,9,8
2018,D32,Speeding,50,6
2017,D33,Speeding,42,15
2017,D23,Speeding,1,10
2015,D55,Speeding,68,6
2015,D41,Speeding,119,21
2021,D43,Speeding,139,6
2018,D41,Speeding,122,11
2018,D43,Speeding,142,8
2018,D51,Speeding,73,10
2021,D55,Speeding,44,6
2018,D23,Speeding,1,81
2016,D22,Speeding,158,8
2023,D13,Speeding,31,9
2016,D55,Speeding,58,6
2021,D32,Speeding,155,15
2016,D23,Speeding,1,8
2019,D51,Speeding,73,14
2022,D11,Speeding,90,6
2021,D33,Speeding,43,8
2021,D51,Speeding,73,16
2023,D41,Speeding,124,18
2017,D51,Speeding,167,6
2023,D55,Speeding,43,22
2021,D33,Speeding,150,12
2020,D42,Speeding,144,122
2015,D12,Speeding,112,6
2020,D53,Speeding,97,8
2020,D55,Speeding,120,8
2018,D14,Speeding,85,8
2021,D14,Speeding,165,12
2023,D41,Speeding,156,17
2021,D32,Speeding,50,25
2023,D31,Speeding,154,9
2020,D32,Speeding,27,13
2023,D12,Speeding,28,121
2015,D31,Speeding,22,6
2021,D43,Speeding,157,6
2019,D43,Speeding,135,6
2016,D22,Speeding,11,6
2023,D42,Speeding,118,6
2017,D51,Speeding,74,6
2021,D43,Speeding,133,6
2016,D31,Speeding,21,6
2021,D55,Speeding,120,6
2019,D32,Speeding,152,6
2016,D33,Speeding,47,6
2022,D22,Speeding,15,6
2020,D55,Speeding,54,6
2019,D31,Speeding,25,6
2022,D33,Speeding,150,6
2019,D51,Speeding,71,6
2021,D22,Speeding,15,6
2015,D43,Speeding,136,6
2021,D23,Speeding,8,6
2019,D31,Speeding,23,6
2019,D41,Speeding,156,6
2023,D53,Speeding,97,6
2016,D55,Speeding,44,6
2023,D53,Speeding,98,7
2016,D42,Speeding,130,7
2020,D33,Speeding,48,7
2017,D43,Speeding,135,7
2022,D32,Speeding,27,7
2022,D13,Speeding,101,37
2015,D23,Speeding,1,8
2020,D42,Speeding,146,10
2023,D43,Speeding,142,12
2022,D55,Speeding,54,28
2022,D31,Speeding,154,11
2022,D42,Speeding,148,17
2020,D53,Speeding,103,9
2020,D42,Speeding,118,9
2017,D22,Speeding,158,10
2018,D42,Speeding,146,9
2016,D14,Speeding,163,18
2016,D33,Speeding,49,19
2023,D33,Speeding,40,17
2023,D32,Speeding,27,11
2021,D32,Speeding,40,11
2021,D53,Speeding,56,10
2022,D42,Speeding,145,91
2021,D11,Speeding,88,31
2021,D23,Speeding,7,8
2023,D13,Speeding,106,13
2021,D32,Speeding,34,11
2018,D41,Speeding,126,14
2019,D33,Speeding,149,19
2018,D14,Speeding,163,31
2018,D12,Speeding,111,9
2020,D22,Speeding,11,8
2022,D55,Speeding,70,19
2014,D33,Speeding,42,12
2022,D43,Speeding,133,10
2022,D31,Speeding,22,12
2023,D12,Speeding,113,14
2021,D42,Speeding,118,13
2022,D31,Speeding,27,12
2020,D32,Speeding,50,18
2021,D51,Speeding,166,17
2020,D33,Speeding,52,18
2020,D42,Speeding,130,15
2021,D42,Speeding,129,14
2023,D33,Speeding,149,13
2021,D22,Speeding,159,16
2020,D41,Speeding,156,26
2021,D41,Speeding,119,32
2019,D33,Speeding,42,11
2022,D33,Speeding,49,157
2023,D32,Speeding,39,18
2022,D32,Speeding,40,13
2023,D55,Speeding,58,39
2020,D11,Speeding,85,27
2023,D11,Speeding,87,26
2021,D22,Speeding,11,9
2021,D12,Speeding,115,9
2019,D42,Speeding,144,10
2020,D41,Speeding,126,39
2021,D32,Speeding,39,39
2022,D23,Speeding,7,12
2023,D43,Speeding,133,9
2019,D42,Speeding,146,11
2016,D41,Speeding,122,8
2021,D11,Speeding,87,23
2021,D12,Speeding,30,10
2015,D32,Speeding,31,8
2021,D33,Speeding,48,8
2022,D22,Speeding,159,12
2021,D43,Speeding,135,23
2023,D33,Speeding,42,88
2018,D31,Speeding,21,39
2023,D41,Speeding,126,50
2023,D22,Speeding,7,8
2017,D22,Speeding,10,6
2018,D32,Speeding,33,10
2022,D32,Speeding,35,20
2020,D43,Speeding,135,29
2023,D22,Speeding,158,17
2022,D41,Speeding,119,16
2022,D32,Speeding,152,21
2021,D42,Speeding,130,21
2023,D32,Speeding,31,20
2021,D23,Speeding,6,23
2019,D55,Speeding,43,9
2021,D31,Speeding,155,13
2020,D32,Speeding,38,9
2018,D22,Speeding,11,8
2018,D31,Speeding,22,13
2022,D33,Speeding,44,10
2022,D11,Speeding,85,55
2023,D42,Speeding,116,8
2020,D22,Speeding,20,26
2017,D43,Speeding,136,14
2018,D42,Speeding,145,13
2021,D23,Speeding,4,9
2020,D32,Speeding,33,8
2020,D41,Speeding,119,24
2021,D31,Speeding,21,28
2021,D22,Speeding,160,17
2020,D22,Speeding,161,9
2020,D32,Speeding,34,24
2023,D32,Speeding,152,9
2021,D22,Speeding,158,12
2020,D22,Speeding,160,18
2017,D42,Speeding,129,8
2021,D32,Speeding,151,13
2023,D11,Speeding,85,54
2020,D33,Speeding,40,13
2021,D55,Speeding,68,9
2021,D42,Speeding,145,50
2022,D42,Speeding,130,36
2021,D43,Speeding,138,6
2020,D51,Speeding,71,11
2021,D51,Speeding,71,19
2020,D43,Speeding,133,6
2022,D41,Speeding,124,22
2020,D41,Speeding,122,17
2022,D32,Speeding,33,11
2022,D43,Speeding,136,13
2021,D41,Speeding,122,19
2023,D32,Speeding,41,9
2023,D43,Speeding,141,13
2023,D22,Speeding,16,25
2023,D51,Speeding,71,21
2021,D32,Speeding,31,27
2015,D42,Speeding,145,6
2019,D33,Speeding,49,10
2022,D31,Speeding,155,16
2023,D12,Speeding,90,12
2019,D22,Speeding,159,6
2021,D52,Speeding,165,21
2020,D43,Speeding,142,9
2019,D12,Speeding,30,12
2020,D43,Speeding,134,6
2017,D42,Speeding,144,14
2022,D43,Speeding,142,15
2021,D23,Speeding,2,11
2023,D53,Speeding,95,6
2018,D42,Speeding,116,10
2022,D51,Speeding,71,16
2014,D41,Speeding,120,14
2020,D23,Speeding,22,9
2023,D43,Speeding,135,24
2021,D55,Speeding,58,23
2015,D14,Speeding,163,6
2020,D23,Speeding,6,14
2020,D32,Speeding,32,15
2022,D41,Speeding,126,41
2017,D55,Speeding,43,6
2020,D42,Speeding,128,10
2016,D51,Speeding,71,10
2017,D31,Speeding,23,16
2016,D22,Speeding,20,6
2018,D33,Speeding,149,12
2023,D23,Speeding,3,16
2021,D42,Speeding,144,75
2022,D42,Speeding,116,8
2022,D12,Speeding,30,16
2016,D33,Speeding,42,11
2023,D33,Speeding,48,21
2017,D33,Speeding,150,6
2021,D22,Speeding,20,15
2023,D55,Speeding,44,43
2023,D42,Speeding,145,45
2018,D55,Speeding,58,6
2023,D12,Speeding,29,12
2023,D22,Speeding,10,9
2014,D33,Speeding,49,6
2023,D14,Speeding,85,51
2021,D42,Speeding,146,13
2020,D33,Speeding,49,47
2017,D14,Speeding,85,6
2023,D41,Speeding,122,18
2020,D32,Speeding,40,18
2022,D51,Speeding,166,28
2023,D51,Speeding,73,6
2022,D33,Speeding,52,20
2023,D33,Speeding,46,8
2023,D22,Speeding,20,12
2020,D33,Speeding,150,25
2021,D33,Speeding,40,22
2020,D32,Speeding,35,15
2021,D14,Speeding,163,32
2021,D53,Speeding,98,8
2022,D22,Speeding,16,17
2023,D55,Speeding,54,16
2022,D42,Speeding,129,12
2019,D55,Speeding,70,8
2017,D22,Speeding,159,12
2019,D42,Speeding,145,11
2020,D51,Speeding,71,2121
2021,D51,Speeding,166,248
2017,D51,Speeding,168,14
2018,D51,Speeding,73,955
2021,D51,Speeding,74,60
2019,D51,Speeding,70,6
2020,D51,Speeding,73,1231
2016,D51,Speeding,166,327
2017,D51,Speeding,72,22
2021,D51,Speeding,70,6
2014,D51,Speeding,166,240
2019,D51,Speeding,72,10
2021,D51,Speeding,72,35
2017,D51,Speeding,166,137
